source_node,target_node,verified,device_type,device_name,source_file,evidence,notes
p10rdt18941,p10rdt18941lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt19045,p10rdt19045lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt2070,p10rdt2070lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt2638,p10rdt2638lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt2876,p10rdt2876lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt3163,p10rdt3163lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt3164,p10rdt3164lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt3632,p10rdt3632lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt3891,p10rdt3891lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt4426,p10rdt4426lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt5178,p10rdt5178lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt5179,p10rdt5179lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt5659,p10rdt5659lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt5661,p10rdt5661lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt5884,p10rdt5884lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6344,p10rdt6344lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6364,p10rdt6364lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6599,p10rdt6599lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6600,p10rdt6600lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt669,p10rdt669lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6809,p10rdt6809lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt6810,p10rdt6810lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt685,p10rdt685lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt7268,p10rdt7268lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt7719,p10rdt7719lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt8339,p10rdt8339lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt8350,p10rdt8350lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt8556,p10rdt8556lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt90,p10rdt90lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt9165,p10rdt9165lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt9166,p10rdt9166lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt919,p10rdt919lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt9361,p10rdt9361lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt9792,p10rdt9792lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt9810,p10rdt9810lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
