node_id,load_element_count,load_elements
p10rlv3394,2,"[{""device_name"":""load_p10rlv3394_1"",""profile"":""res_kw_21326-South-Central_pu.csv"",""kW"":8.726244279257356,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":41},{""device_name"":""load_p10rlv3394_2"",""profile"":""res_kw_21326-South-Central_pu.csv"",""kW"":8.726244279257356,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":43}]"
p10rlv3936,2,"[{""device_name"":""load_p10rlv3936_1"",""profile"":""res_kw_23991-South-Central_pu.csv"",""kW"":3.310584383114775,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":45},{""device_name"":""load_p10rlv3936_2"",""profile"":""res_kw_23991-South-Central_pu.csv"",""kW"":3.310584383114775,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":47}]"
p10rlv4224,2,"[{""device_name"":""load_p10rlv4224_1"",""profile"":""res_kw_8514-South-Central_pu.csv"",""kW"":3.911719246953864,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":49},{""device_name"":""load_p10rlv4224_2"",""profile"":""res_kw_8514-South-Central_pu.csv"",""kW"":3.911719246953864,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":51}]"
p10rlv4862,2,"[{""device_name"":""load_p10rlv4862_1"",""profile"":""res_kw_25634-South-Central_pu.csv"",""kW"":6.712190399053743,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":53},{""device_name"":""load_p10rlv4862_2"",""profile"":""res_kw_25634-South-Central_pu.csv"",""kW"":6.712190399053743,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":55}]"
p10rlv5170,2,"[{""device_name"":""load_p10rlv5170_1"",""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":57},{""device_name"":""load_p10rlv5170_2"",""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":59}]"
p10rlv5780,2,"[{""device_name"":""load_p10rlv5780_1"",""profile"":""res_kw_38930-South-Central_pu.csv"",""kW"":4.686917228364979,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":61},{""device_name"":""load_p10rlv5780_2"",""profile"":""res_kw_38930-South-Central_pu.csv"",""kW"":4.686917228364979,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":63}]"
p10rlv5781,2,"[{""device_name"":""load_p10rlv5781_1"",""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":65},{""device_name"":""load_p10rlv5781_2"",""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":67}]"
p10rlv6371,2,"[{""device_name"":""load_p10rlv6371_1"",""profile"":""res_kw_37494-South-Central_pu.csv"",""kW"":5.285812056844039,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":69},{""device_name"":""load_p10rlv6371_2"",""profile"":""res_kw_37494-South-Central_pu.csv"",""kW"":5.285812056844039,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":71}]"
p10rlv6373,2,"[{""device_name"":""load_p10rlv6373_1"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":73},{""device_name"":""load_p10rlv6373_2"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":75}]"
p10rlv6659,2,"[{""device_name"":""load_p10rlv6659_1"",""profile"":""res_kw_4528-South-Central_pu.csv"",""kW"":7.635222282159952,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":77},{""device_name"":""load_p10rlv6659_2"",""profile"":""res_kw_4528-South-Central_pu.csv"",""kW"":7.635222282159952,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":79}]"
p10rlv7262,2,"[{""device_name"":""load_p10rlv7262_1"",""profile"":""res_kw_18285-South-Central_pu.csv"",""kW"":3.9717247056045366,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":81},{""device_name"":""load_p10rlv7262_2"",""profile"":""res_kw_18285-South-Central_pu.csv"",""kW"":3.9717247056045366,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":83}]"
p10rlv7286,2,"[{""device_name"":""load_p10rlv7286_1"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":85},{""device_name"":""load_p10rlv7286_2"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":87}]"
p10rlv7583,2,"[{""device_name"":""load_p10rlv7583_1"",""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":89},{""device_name"":""load_p10rlv7583_2"",""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":91}]"
p10rlv7584,2,"[{""device_name"":""load_p10rlv7584_1"",""profile"":""res_kw_39358-South-Central_pu.csv"",""kW"":5.163804170724662,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":93},{""device_name"":""load_p10rlv7584_2"",""profile"":""res_kw_39358-South-Central_pu.csv"",""kW"":5.163804170724662,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":95}]"
p10rlv7860,2,"[{""device_name"":""load_p10rlv7860_1"",""profile"":""res_kw_19358-South-Central_pu.csv"",""kW"":8.631113164400992,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":97},{""device_name"":""load_p10rlv7860_2"",""profile"":""res_kw_19358-South-Central_pu.csv"",""kW"":8.631113164400992,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":99}]"
p10rlv7861,2,"[{""device_name"":""load_p10rlv7861_1"",""profile"":""res_kw_42503-South-Central_pu.csv"",""kW"":6.90232975661774,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":101},{""device_name"":""load_p10rlv7861_2"",""profile"":""res_kw_42503-South-Central_pu.csv"",""kW"":6.90232975661774,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":103}]"
p10rlv8456,2,"[{""device_name"":""load_p10rlv8456_1"",""profile"":""res_kw_38844-South-Central_pu.csv"",""kW"":5.211839584881992,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":105},{""device_name"":""load_p10rlv8456_2"",""profile"":""res_kw_38844-South-Central_pu.csv"",""kW"":5.211839584881992,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":107}]"
p10rlv9050,2,"[{""device_name"":""load_p10rlv9050_1"",""profile"":""res_kw_11241-South-Central_pu.csv"",""kW"":7.679739821739521,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":109},{""device_name"":""load_p10rlv9050_2"",""profile"":""res_kw_11241-South-Central_pu.csv"",""kW"":7.679739821739521,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":111}]"
p10rlv9051,2,"[{""device_name"":""load_p10rlv9051_1"",""profile"":""res_kw_35047-South-Central_pu.csv"",""kW"":3.8327971064149686,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":113},{""device_name"":""load_p10rlv9051_2"",""profile"":""res_kw_35047-South-Central_pu.csv"",""kW"":3.8327971064149686,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":115}]"
p10rlv9646,2,"[{""device_name"":""load_p10rlv9646_1"",""profile"":""res_kw_31093-South-Central_pu.csv"",""kW"":10.559202663711805,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":117},{""device_name"":""load_p10rlv9646_2"",""profile"":""res_kw_31093-South-Central_pu.csv"",""kW"":10.559202663711805,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":119}]"
p10rlv9907,2,"[{""device_name"":""load_p10rlv9907_1"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":121},{""device_name"":""load_p10rlv9907_2"",""profile"":""res_kw_7860-South-Central_pu.csv"",""kW"":3.581524871578637,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":123}]"
p10rlv9923,2,"[{""device_name"":""load_p10rlv9923_1"",""profile"":""res_kw_25634-South-Central_pu.csv"",""kW"":6.712190399053743,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":125},{""device_name"":""load_p10rlv9923_2"",""profile"":""res_kw_25634-South-Central_pu.csv"",""kW"":6.712190399053743,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":127}]"
p10rlv10217,2,"[{""device_name"":""load_p10rlv10217_1"",""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":129},{""device_name"":""load_p10rlv10217_2"",""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":131}]"
p10rlv11104,2,"[{""device_name"":""load_p10rlv11104_1"",""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":133},{""device_name"":""load_p10rlv11104_2"",""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":135}]"
p10rlv11105,2,"[{""device_name"":""load_p10rlv11105_1"",""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":137},{""device_name"":""load_p10rlv11105_2"",""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":139}]"
p10rlv11392,2,"[{""device_name"":""load_p10rlv11392_1"",""profile"":""res_kw_11856-South-Central_pu.csv"",""kW"":1.3997393730484056,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":141},{""device_name"":""load_p10rlv11392_2"",""profile"":""res_kw_11856-South-Central_pu.csv"",""kW"":1.3997393730484056,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":143}]"
p10rlv12002,2,"[{""device_name"":""load_p10rlv12002_1"",""profile"":""res_kw_4055-South-Central_pu.csv"",""kW"":3.3885501611893094,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":145},{""device_name"":""load_p10rlv12002_2"",""profile"":""res_kw_4055-South-Central_pu.csv"",""kW"":3.3885501611893094,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":147}]"
p10rlv12029,2,"[{""device_name"":""load_p10rlv12029_1"",""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":149},{""device_name"":""load_p10rlv12029_2"",""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":151}]"
p10rlv12030,2,"[{""device_name"":""load_p10rlv12030_1"",""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":153},{""device_name"":""load_p10rlv12030_2"",""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":155}]"
p10rlv12345,2,"[{""device_name"":""load_p10rlv12345_1"",""profile"":""res_kw_6795-South-Central_pu.csv"",""kW"":2.7062246199214086,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":157},{""device_name"":""load_p10rlv12345_2"",""profile"":""res_kw_6795-South-Central_pu.csv"",""kW"":2.7062246199214086,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":159}]"
p10rlv13496,2,"[{""device_name"":""load_p10rlv13496_1"",""profile"":""res_kw_22490-South-Central_pu.csv"",""kW"":4.769117054328243,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":161},{""device_name"":""load_p10rlv13496_2"",""profile"":""res_kw_22490-South-Central_pu.csv"",""kW"":4.769117054328243,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":163}]"
p10rlv13829,2,"[{""device_name"":""load_p10rlv13829_1"",""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":165},{""device_name"":""load_p10rlv13829_2"",""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":167}]"
p10rlv15288,2,"[{""device_name"":""load_p10rlv15288_1"",""profile"":""res_kw_7138-South-Central_pu.csv"",""kW"":4.334160287467421,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":169},{""device_name"":""load_p10rlv15288_2"",""profile"":""res_kw_7138-South-Central_pu.csv"",""kW"":4.334160287467421,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":171}]"
p10rlv15908,2,"[{""device_name"":""load_p10rlv15908_1"",""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":173},{""device_name"":""load_p10rlv15908_2"",""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":175}]"
